;enviado email;   alertas;;ESTADO ;DISTRIBUIDORA ;Cidade ;TEL ;CONTATO ;E MAIL;
s;30/mar;;;RJ;POLYFARMA DIST DE MED;NATAL;84 3223 4039;WILSON emanoel ;polyfarmanatal@hotmail.com;
s;30/mar;;;RJ;POTIGUAR FARMACEUTICA;NATAL;84 3605 9953;BRUNO;PAULOCESAR@POTIGUARFARMACEUTICA.COM.BR;
s;30/mar;;;RJ;PRONTOMEDICA DISTRIBUIDORA DE PRODUTOS PARA SAÚDE;Natal - RN;(84) 3092-8000;;compras@prontomedica.com.br;
k;01/abr;;;RJ;RJ3 Distribuidora de Medicamentos;Natal - RN;(84) 3346-6304;;contato@rjtres.com.br;
s;30/mar;;;RJ;Sodimed Comércio e Rep Ltda;Natal - RN;(84) 3213-4466;;faturamentosodimed@gmail.com;
s;30/mar;;;RJ;DIMEFE - Distr de Medic Fernandes;Ji-Paraná - RO;(69) 3411-2100;;dimefe.cabrini@gmail.com;
s;30/mar;;;RJ;Minas Distribuidora;Ji-Paraná - RO;(68) 3223-7553;sales ;sales_jipr@hotmail.com;
s;30/mar;;;RJ;MINAS DISTRIBUIDORA PRODUTOS FARMACÊUTICOS;Porto Velho, RO;(69) 3421 5591;sales ;sales@minasdistribuidora.com.br;
s;30/mar;;;RJ;Sou Mais Saúde;Vilhena - RO;(69) 3322-4963;;adm@soumaissaude.com.br;
s;30/mar;;;RJ;FARMAVIGOR;Boa Vista, RR;(95) 3628-5443;vidia;vigorfarma@gmail.com;
s;30/mar;;;RJ;Mapemi - Brasil Distribuição e logística farmacêutica;Manaus - AM;(92) 3182-4200;darciano ;comprasfarma@mapemi.com.br;
s;30/mar;;;RJ;SANTA MÔNICA DIST. DE PROD FARMAC LTDA- BOA VISTA RR;Boa Vista;95) 3625-9958;luis;luis.santos@santamonicadist.com.br;
s;30/mar;;;RJ;WM DISTRIBUIDORA DE MEDICAMENTOS;Boa Vista, RR;(95) 3623-3879   /6115;walber;walber@wmodontomedico.com.br;
s;30/mar;;;RJ;AGAFARMA;;51 3349 3100;;negociacao@agafarma.com.br;
s;30/mar;;;RJ;Cervosul Distribuidora de Medicamentos;eldorado do sul;51 3230 4000;;compras@cervosul.com.br;
s;30/mar;;;RJ;Ciamed Distribuidora;encantado rs;(51) 3751-9300;marina ;marina@ciamedrs.com.br;
s;30/mar;;;RJ;comercial Trimed;;;RENATA E OU VANESSA;COMPRAS@COMERCIALTRIMED.COM.BR;
s;31/mar;;;RJ;Dalmedsul Medicamentos Eireli;Entre Rios do Sul;(54) 3544-1800;54 996291742;compras@dalmedsul.com.br;
s;31/mar;;;RJ;DIFREMEL;RS;55 3744 4377;NEUSA;compras@difremel.com.br;
s;31/mar;;;RJ;Farmasul Distribuidora;porto alegre;;;comercial@distribuidorafarmasul.com.br;
s;31/mar;;;RJ;Focofarma Distribuidora de Medicamentos; ;0800 646 1005;alex ;alex.focofarma@gmail.com;
s;31/mar;;;RJ;Gauchafarma;porto alegre;(51) 3382-2000;;compras5@gauchafarma.com;
s;31/mar;;;RJ;Gemil Distribuidora de Produtos Farmacêuticos;Santa Maria;(55) 3027-9550;55 9 9977 1811;gemiltelevendas@hotmail.com;
s;31/mar;;;RJ;grupo Maiora;Canoas;(51) 3032-8900;;patricia.roldao@grupomaiora.com.br;
s;31/mar;;;RJ;Kley Hertz;porto alegre;(51) 3346-8488;;insumos@kleyhertz.com.br;
s;31/mar;;;RJ;Licimed Distribuidora de Medicamentos e Correlatos LTDA;porto alegre;(51) 3076-8181;priscila  oncologico;licimed@licimed.com.br;
s;31/mar;;;RJ;Madre Distribuidora de Medicamentos;Santa Cruz do Sul;(51) 3121-1213;;jackson@madre.med.br;
s;31/mar;;;RJ;Medlive Produtos Médico Hospitalares;Vera Cruz;(51) 3718-7600;vinicius ;vmarques@medlive.com.br;
s;30/mar;;;RJ;medpharma;;51 3344 2701;;patricia.roldao@grupomaiora.com.br;
s;31/mar;;;RJ;Neosul Distribuidora De Medicamentos;porto alegre;(51) 3061-8000;cristiane;compras.rs@neosuldistribuidora.com.br;
s;31/mar;;;RJ;Oniz Distribuidora;Cachoeirinha;(51) 2136-7969;roberta;roberta@minha.far.br;
s;31/mar;;;RJ;Riopasa - Distribuidora Medicamentos;porto alegre;(51) 3344-0401/ 3368 7158;taiuane  ;riopasa_medicamentos@hotmail.com;
s;31/mar;;;RJ;RS Distribuidora de Medicamentos Ltda - Megabem;Caxias d oSul;(54) 99145-4524;ligar daqui um pouco ;santini@rsdistribuidora.com.br;
s;31/mar;;;RJ;vida farmacias ;;;;COMERCIAL@VIDAFARMACIAS.COM.BR;
s;31/mar;;;RJ;ASAMED Distribuidora;são jose;(48) 3034-5714;andrea;compras@asamed.com.br;
s;31/mar;;;RJ;DIFARMA DISTRIBUIDORA DE MEDICAMENTOS LTDA;;(47) 3345-1410;;junior@difarma.com.br;
s;31/mar;;;RJ;Diprosul Distribuidora;são jose;(48) 3112-4300;marcio;marcio@diprosul.com.br;
s;31/mar;;;RJ;Edera Distribuidora de Medicamentos;ararangua;48-3524 4380;;adm@edera.com.br  ;
s;31/mar;;;RJ;Farmamed Distribuidora;Blumenau; (47) 3327-3416;;farmameddistribuidora@gmail.com;
s;31/mar;;;RJ;Florifarma Distribuidora Farmaceutica;são jose;(48) 3381-0700;helton;elton@florifarma.com.br;
s;31/mar;;;RJ;Infinity Medicamentos;joinville;(47) 3202-5440;vivane;financeiro@infinitymed.com.br;
s;29/mar;cont;;RJ;KFG  distribuidora;eloisio;(48) 3080-9100;;giane.torres@kfgdistribuidora.com.br;48 9 8802 7284
s;31/mar;;;RJ;Multimed Medicamentos;Blumenau;(47) 3334-1818;;sid@multimedmedicamentos.com.br;
s;31/mar;;;RJ;Neobras Distribuidora De Medicamentos;palhoca;(48) 3035-0400;karine;andrey@neobras.com.br;
s;31/mar;;;RJ;Pelegrini Distribuidora de Produtos Farmacêuticos;gov elco ramos ;(48) 3285-4444;;compras@pelegrinionline.com.br;
s;31/mar;;;RJ;Prosaude Distribuidora de Medicamentos;chapecó;(49) 3324-5585;karine;gerencia@prosaudesc.com.br;
s;31/mar;;;RJ;Riomed;Rio do Sul;(47) 3531-8000;roberta;roberta@novariomed.com.br;
s;31/mar;;;RJ;S&R Distribuidora de Medicamentos;chapecó;(49) 3323-0360;cleide;compras@srdistribuidora.net.br;
s;31/mar;;;RJ;STYLOFARMA;Blumenau;47 3327 8012;LEONARDO;comercial.sup@stylofarma.com.br;
s;31/mar;;;RJ;Werbran Distribuidora De Medicamentos Ltda;fco beltrao;(46) 3211-5000;ediane;ediane@werbran.com.br;
s;31/mar;;;RJ;Promédh Dist. de Prod. Farm. Med. e Hospitalaes Ltda.;Aracaju;(79) 3019-6888;;GERENCIA@DISTRIBUIDORADPA.COM.BR;
s;31/mar;;;RJ;SANFARMA;Aracaju, SE; (79) 3231-4232;;sanfarmadistribuidora@gmail.com;
s;31/mar;;;RJ;Somed Distribuidora de Medicamentos;Aracaju;(79) 3021-0765;;gerenciacomercial@somedltda.com.br;
s;31/mar;;;RJ;YVMED PRODUTOS FARMACÊUTICOS E HOSPITALARES EIRELI;Nossa Sra. do Socorro - SE;(79) 3254-8885;rodrigo;yvmed.se@gmail.com;
s;31/mar;;;RJ;Disdrog Comercial;FERNANDOPOLI ; (17) 3462-7366;delcio;delcio.azevedo@disdrog.com.br;
s;31/mar;;;RJ;DISMAIS  ANDORINHA MED;SÃO PAULO;11 3014 0509  0800169663;ANDRESSA;compras@andorinhamed.com.br;
s;31/mar;;;RJ;DIST ELITE;SÃO PAULO;11 4469 4400;juliao;juliao.neto@elitedistribuidora.com.br;
s;30/mar;;;RJ;DISTR NAVARRO;SÃO PAULO;11 3946 2172  11 3948 0881;ELISANA;elisana@navarromed.com.br;
s;31/mar;;;RJ;DROGACENTER;ribeirao ;16 3603 0111 rm 173;romulo ;romulo.trindade@drogacenter.com.br;
s;31/mar;;;RJ;drogaria total;;016 2133 5656;;recepcao@drogariatotal.com.br;
s;31/mar;;;RJ;elite distribuidora ;;;;joao.marchiori@elitedistribuidora.com.br;
s;31/mar;;;RJ;Expressa Distribuidora de Medicamentos;Recife - PE;(11) 2184-0700;adriana badaro;adriana.badaro@expressa.com;
s;31/mar;;;RJ;F1 Farma;BEBEDOURO;17 3344 8080;;brunoueda@f1farma.com.br;
s;31/mar;;;RJ;FARMA E CIA;SÃO PAULO;11 3628 1344;CELIA;administrativo@farmaecia.com.br;
s;31/mar;;;RJ;farmarca;SÃO PAULO;011 3283 3737;;recepcao@farmarcas.com.br;
s;31/mar;;;RJ;FARMAVIP;;LIMEIRA;AMADEU;amadeu@farmavip.com.br;
s;31/mar;;;RJ;five med;cotia;11 3565 7555;;compras@fivemed.com.br;
s;31/mar;;;RJ;GLT Distribuidora;BARRETOS;017 3322 0475 ;LUIZ ;SUPERVISAO@GRUPOGLT.COM.BR;
s;31/mar;;;RJ;JN Distribuidora;ARAÇATUBA;(18) 2102-0214;;denise.santos@jndistribuidora.com;
s;31/mar;;;RJ;maxifarma;;17 3121 1800;;COMPRAS1@GRUPOMAXIFARMA.COM;
s;31/mar;;;RJ;Navarromed-RJ;V.REDONDA ;(11) 3948-0881;;elisana@navarromed.com.br;
s;31/mar;;;RJ;Novafitos;;;;compras@novafitos.com.br;
s;31/mar;;;RJ;SERVIMED COMPL  ;BAURU;14 2106 2000;014 2106 2011;compras@servimed.com.br;
s;31/mar;;;RJ;Solfarma Como de Prod Farm Ltda;BEBEDOURO; (17) 3345-9300;;luciano.ferreira@solfarma.com.br;
s;31/mar;cont;;RJ;centrofarma;Evelyn;;;COMPRAS1@CENTROFARMAMT.COM.BR;
s;31/mar;;;RJ;FAIMED COMÉRCIO DE MEDICAMENTOS;Palmas, TO;(63) 3212-1294;;faimed.palmas@hotmail.com;
s;31/mar;;;RJ;Imperial Medicamentos Ltda;Araguaína - TO;(63) 3413-2340;;imperialmedic@uol.com.br;
s;31/mar;;;RJ;palmed   TO;Palmas, TO;(63) 3232-5739;joao ;joao.marcos@grupopalmed.com.br;
s;31/mar;;;RJ;Profarm Comércio de Medicamentos e Material Hospit;TO;(63) 3228-2520;luiz ;compras@profarmto.com.br;
